t,S,I,R,C,beta,scen
181,0.455094,0.0336856,0.511221,0.544806,0.231049,3
182,0.451584,0.0333244,0.515092,0.548316,0.231049,3
183,0.44814,0.0329405,0.518919,0.55176,0.231049,3
184,0.444763,0.0325354,0.522702,0.555137,0.231049,3
185,0.441454,0.0321105,0.526436,0.558446,0.231049,3
186,0.438213,0.0316672,0.53012,0.561687,0.231049,3
187,0.435041,0.0312068,0.533752,0.564859,0.231049,3
188,0.431939,0.0307309,0.53733,0.567961,0.231049,3
189,0.428908,0.0302408,0.540852,0.570992,0.231049,3
190,0.425946,0.0297379,0.544316,0.573954,0.231049,3
191,0.423054,0.0292236,0.547722,0.576846,0.231049,3
192,0.420233,0.0286993,0.551068,0.579667,0.231049,3
193,0.417481,0.0281662,0.554353,0.582419,0.231049,3
194,0.414799,0.0276257,0.557575,0.585101,0.231049,3
195,0.412186,0.0270789,0.560735,0.587714,0.231049,3
196,0.409641,0.0265272,0.563832,0.590259,0.231049,3
197,0.407164,0.0259717,0.566864,0.592736,0.231049,3
198,0.404754,0.0254134,0.569832,0.595146,0.231049,3
199,0.40241,0.0248535,0.572736,0.59749,0.231049,3
200,0.400132,0.024293,0.575575,0.599768,0.231049,3
201,0.397918,0.0237327,0.578349,0.601982,0.231049,3
202,0.395768,0.0231737,0.581058,0.604132,0.231049,3
203,0.39368,0.0226168,0.583703,0.60622,0.231049,3
204,0.391653,0.0220628,0.586284,0.608247,0.231049,3
205,0.389687,0.0215125,0.588801,0.610213,0.231049,3
206,0.387779,0.0209664,0.591255,0.612121,0.231049,3
207,0.385929,0.0204254,0.593645,0.613971,0.231049,3
208,0.384136,0.01989,0.595974,0.615764,0.231049,3
209,0.382398,0.0193607,0.598241,0.617502,0.231049,3
210,0.380714,0.018838,0.600448,0.619186,0.231049,3
211,0.379084,0.0183224,0.602594,0.620816,0.231049,3
212,0.377504,0.0178144,0.604681,0.622396,0.231049,3
213,0.375976,0.0173142,0.60671,0.623924,0.231049,3
214,0.374496,0.0168222,0.608682,0.625404,0.231049,3
215,0.373064,0.0163386,0.610597,0.626836,0.231049,3
216,0.371679,0.0158639,0.612457,0.628221,0.231049,3
