t,S,I,R,C,beta,scen
262,0.41643,0.000526338,0.583044,0.58347,0.231049,3
263,0.41638,0.000516269,0.583104,0.58352,0.231049,3
264,0.416331,0.000506388,0.583163,0.583569,0.231049,3
265,0.416283,0.00049669,0.583221,0.583617,0.231049,3
266,0.416235,0.000487172,0.583278,0.583665,0.231049,3
267,0.416189,0.000477831,0.583333,0.583711,0.231049,3
268,0.416143,0.000468665,0.583388,0.583757,0.231049,3
269,0.416099,0.00045967,0.583442,0.583801,0.231049,3
270,0.416055,0.000450842,0.583494,0.583845,0.231049,3
271,0.416012,0.00044218,0.583546,0.583888,0.231049,3
272,0.41597,0.00043368,0.583596,0.58393,0.231049,3
273,0.415929,0.000425339,0.583646,0.583971,0.231049,3
274,0.415888,0.000417155,0.583695,0.584012,0.231049,3
275,0.415848,0.000409124,0.583742,0.584052,0.231049,3
276,0.41581,0.000401245,0.583789,0.58409,0.231049,3
277,0.415771,0.000393513,0.583835,0.584129,0.231049,3
278,0.415734,0.000385928,0.58388,0.584166,0.231049,3
279,0.415697,0.000378485,0.583924,0.584203,0.231049,3
280,0.415661,0.000371182,0.583968,0.584239,0.231049,3
281,0.415626,0.000364018,0.58401,0.584274,0.231049,3
282,0.415591,0.000356989,0.584052,0.584309,0.231049,3
283,0.415557,0.000350093,0.584093,0.584343,0.231049,3
284,0.415524,0.000343327,0.584133,0.584376,0.231049,3
285,0.415491,0.00033669,0.584172,0.584409,0.231049,3
286,0.415459,0.000330178,0.58421,0.584441,0.231049,3
287,0.415428,0.00032379,0.584248,0.584472,0.231049,3
288,0.415397,0.000317524,0.584285,0.584503,0.231049,3
289,0.415367,0.000311376,0.584322,0.584533,0.231049,3
290,0.415337,0.000305345,0.584357,0.584563,0.231049,3
291,0.415308,0.000299429,0.584392,0.584592,0.231049,3
292,0.41528,0.000293626,0.584426,0.58462,0.231049,3
293,0.415252,0.000287934,0.58446,0.584648,0.231049,3
294,0.415225,0.00028235,0.584493,0.584675,0.231049,3
295,0.415198,0.000276872,0.584525,0.584702,0.231049,3
296,0.415172,0.000271499,0.584557,0.584728,0.231049,3
297,0.415146,0.000266229,0.584588,0.584754,0.231049,3
298,0.415121,0.000261059,0.584618,0.584779,0.231049,3
299,0.415096,0.000255989,0.584648,0.584804,0.231049,3
300,0.415071,0.000251015,0.584678,0.584829,0.231049,3
301,0.415048,0.000246137,0.584706,0.584852,0.231049,3
302,0.415024,0.000241352,0.584734,0.584876,0.231049,3
303,0.415001,0.000236659,0.584762,0.584899,0.231049,3
304,0.414979,0.000232056,0.584789,0.584921,0.231049,3
305,0.414957,0.000227542,0.584816,0.584943,0.231049,3
306,0.414935,0.000223114,0.584842,0.584965,0.231049,3
307,0.414914,0.000218771,0.584867,0.584986,0.231049,3
308,0.414893,0.000214512,0.584892,0.585007,0.231049,3
309,0.414873,0.000210334,0.584917,0.585027,0.231049,3
310,0.414853,0.000206237,0.584941,0.585047,0.231049,3
311,0.414833,0.000202219,0.584964,0.585067,0.231049,3
312,0.414814,0.000198278,0.584988,0.585086,0.231049,3
313,0.414795,0.000194413,0.58501,0.585105,0.231049,3
314,0.414777,0.000190623,0.585032,0.585123,0.231049,3
315,0.414759,0.000186906,0.585054,0.585141,0.231049,3
316,0.414741,0.000183261,0.585076,0.585159,0.231049,3
317,0.414724,0.000179685,0.585097,0.585176,0.231049,3
318,0.414707,0.000176179,0.585117,0.585193,0.231049,3
319,0.41469,0.000172741,0.585137,0.58521,0.231049,3
320,0.414674,0.000169369,0.585157,0.585226,0.231049,3
321,0.414657,0.000166063,0.585176,0.585243,0.231049,3
322,0.414642,0.00016282,0.585195,0.585258,0.231049,3
323,0.414626,0.00015964,0.585214,0.585274,0.231049,3
324,0.414611,0.000156522,0.585232,0.585289,0.231049,3
325,0.414596,0.000153464,0.58525,0.585304,0.231049,3
326,0.414582,0.000150465,0.585268,0.585318,0.231049,3
327,0.414567,0.000147524,0.585285,0.585333,0.231049,3
328,0.414553,0.00014464,0.585302,0.585347,0.231049,3
329,0.41454,0.000141813,0.585318,0.58536,0.231049,3
330,0.414526,0.00013904,0.585335,0.585374,0.231049,3
331,0.414513,0.000136321,0.585351,0.585387,0.231049,3
332,0.4145,0.000133654,0.585366,0.5854,0.231049,3
333,0.414488,0.00013104,0.585381,0.585412,0.231049,3
334,0.414475,0.000128476,0.585396,0.585425,0.231049,3
335,0.414463,0.000125962,0.585411,0.585437,0.231049,3
336,0.414451,0.000123497,0.585426,0.585449,0.231049,3
337,0.414439,0.000121079,0.58544,0.585461,0.231049,3
338,0.414428,0.000118709,0.585454,0.585472,0.231049,3
339,0.414417,0.000116385,0.585467,0.585483,0.231049,3
340,0.414405,0.000114106,0.58548,0.585495,0.231049,3
341,0.414395,0.000111872,0.585493,0.585505,0.231049,3
342,0.414384,0.00010968,0.585506,0.585516,0.231049,3
343,0.414374,0.000107532,0.585519,0.585526,0.231049,3
344,0.414363,0.000105425,0.585531,0.585537,0.231049,3
345,0.414353,0.00010336,0.585543,0.585547,0.231049,3
346,0.414344,0.000101334,0.585555,0.585556,0.231049,3
347,0.414334,9.93486e-05,0.585567,0.585566,0.231049,3
348,0.414325,9.74014e-05,0.585578,0.585575,0.231049,3
349,0.414315,9.54922e-05,0.585589,0.585585,0.231049,3
350,0.414306,9.36202e-05,0.5856,0.585594,0.231049,3
351,0.414298,9.17847e-05,0.585611,0.585602,0.231049,3
352,0.414289,8.9985e-05,0.585621,0.585611,0.231049,3
353,0.41428,8.82204e-05,0.585631,0.58562,0.231049,3
354,0.414272,8.64903e-05,0.585642,0.585628,0.231049,3
355,0.414264,8.47939e-05,0.585651,0.585636,0.231049,3
356,0.414256,8.31306e-05,0.585661,0.585644,0.231049,3
357,0.414248,8.14999e-05,0.585671,0.585652,0.231049,3
358,0.41424,7.99009e-05,0.58568,0.58566,0.231049,3
359,0.414233,7.83332e-05,0.585689,0.585667,0.231049,3
360,0.414225,7.67961e-05,0.585698,0.585675,0.231049,3
361,0.414218,7.52891e-05,0.585707,0.585682,0.231049,3
362,0.414211,7.38115e-05,0.585716,0.585689,0.231049,3
363,0.414204,7.23628e-05,0.585724,0.585696,0.231049,3
364,0.414197,7.09424e-05,0.585732,0.585703,0.231049,3
365,0.41419,6.95498e-05,0.58574,0.58571,0.231049,3
366,0.414184,6.81844e-05,0.585748,0.585716,0.231049,3
